graph,emb,best_alpha,best_div,best_div_ext,best_div_int,best_alpha_auc,best_auc,best_auc_err,acc,ami,auc
edge0,n2v-abcd-p1-32,10,0.006093661,0,0,7.5,0.0006,0.000479956,0.948,0.934414899,0.998697301
edge2,n2v-abcd-p1-32,10,0.006093661,0,0,9.75,0.0058,0.001488356,0.948,0.934414899,0.994213135
edge4,n2v-abcd-p1-32,10,0.006093661,0,0,10,0.0089,0.001840814,0.948,0.934414899,0.99034517
edge6,n2v-abcd-p1-32,10,0.006093661,0,0,9.75,0.0079,0.001735191,0.948,0.934414899,0.989177499
edge8,n2v-abcd-p1-32,10,0.006093661,0,0,10,0.0103,0.001978912,0.948,0.934414899,0.987110706
edge10,n2v-abcd-p1-32,10,0.006093661,0,0,9.25,0.0097,0.001920991,0.948,0.934414899,0.986968782
