graph,emb,best_alpha,best_div,best_div_ext,best_div_int,best_alpha_auc,best_auc,best_auc_err,acc,ami,auc
edge0,n2v-abcd-p1-32,10.0,0.0060936607141175115,0.0,0.0,7.5,0.0006000000000000449,0.0004799559379776619,0.948,0.934414898941765,0.9986973012305024
edge0,n2v-abcd-p1-32-110,10.0,0.008385138141087819,0.0,0.0,8.0,0.0006000000000000449,0.0004799559379776619,0.9184,0.8888090051395614,0.9986734830359981
edge0,n2v-abcd-p1-32-120,10.0,0.013304429411451255,0.0,0.0,7.0,0.0007000000000000339,0.0005183857266553672,0.8848,0.8714245248576629,0.9987005465319434
edge0,n2v-abcd-p1-32-130,10.0,0.01914385953412154,0.0,0.0,6.75,0.0008000000000000229,0.0005541499233961951,0.844,0.7748287201502658,0.9989898419746824
edge0,n2v-abcd-p1-32-140,10.0,0.024920449292177006,0.0,0.0,7.5,0.0008000000000000229,0.0005541499233961951,0.7792,0.7037308495770612,0.9986676299030419
edge0,n2v-abcd-p1-32-150,10.0,0.030467612313408308,0.0,0.0,8.5,0.0008000000000000229,0.0005541499233961951,0.7132,0.5915589319565913,0.997438529934081
