graph,emb,dim,param,exec_time,landmarks,model,iter,accuracy,precision,recall,fscore
sbm10k,n2v,4,0.11,6.74,-1,xgboost,2,0.6368,0.6316501728940273,0.6291840822596574,0.6289046580337501
sbm10k,n2v,4,0.11,6.71,-1,xgboost,3,0.6268,0.625727900127312,0.6218109484807927,0.6215766132910777
sbm10k,n2v,4,0.11,6.7,-1,xgboost,4,0.6396,0.6364940950718714,0.6366712299059908,0.6350956240641322
sbm10k,n2v,4,0.11,6.75,-1,xgboost,5,0.6488,0.6418306947444595,0.6422895527677058,0.6399823401748467
sbm10k,n2v,4,0.11,6.8,-1,xgboost,6,0.6292,0.6249937192444468,0.6253007089312914,0.623740010975477
sbm10k,n2v,4,0.11,6.51,-1,xgboost,7,0.6336,0.6293202842383384,0.6297501500107205,0.6284761067687057
sbm10k,n2v,4,0.11,6.57,-1,xgboost,8,0.642,0.6339675395642208,0.6359520577967468,0.6327610023596281
sbm10k,n2v,4,0.11,6.64,-1,xgboost,9,0.6328,0.6245189833897927,0.6255780275193287,0.6241666454723986
sbm10k,n2v,6,0.11,6.03,-1,xgboost,0,0.9012,0.8978797531046578,0.8993370433326894,0.8977695328909623
sbm10k,n2v,6,0.11,6.05,-1,xgboost,1,0.9076,0.9056030202458156,0.9055568648295584,0.904778787358959
sbm10k,n2v,6,0.11,5.99,-1,xgboost,2,0.9164,0.9155483585135484,0.9144107717237272,0.91429126234435
sbm10k,n2v,6,0.11,5.83,-1,xgboost,3,0.9012,0.899513801671692,0.8988390739069878,0.8985092558114162
sbm10k,n2v,6,0.11,6.29,-1,xgboost,4,0.8984,0.8967447037665263,0.8962966841691681,0.895925227135909
sbm10k,n2v,6,0.11,6.25,-1,xgboost,5,0.9028,0.8982101699664021,0.8985835325375402,0.8978353019216991
sbm10k,n2v,6,0.11,6.04,-1,xgboost,6,0.9,0.8980891551850197,0.8981886366140238,0.8978148350292796
sbm10k,n2v,6,0.11,6.06,-1,xgboost,7,0.9056,0.9037648765826564,0.9037229099277346,0.9034400334692804
sbm10k,n2v,6,0.11,6.03,-1,xgboost,8,0.9064,0.9032003402974508,0.9031390444202624,0.9026026084281858
sbm10k,n2v,6,0.11,6.02,-1,xgboost,9,0.9072,0.9051723729667686,0.9047789434044136,0.9045678064350564
sbm10k,n2v,8,0.11,4.37,-1,xgboost,0,0.9636,0.962490062302677,0.963246175604942,0.9626199721163432
sbm10k,n2v,8,0.11,5.42,-1,xgboost,1,0.9644,0.9635382384448428,0.963356137037694,0.9632514281070714
sbm10k,n2v,8,0.11,5.46,-1,xgboost,2,0.966,0.9648051396571898,0.9656009381503752,0.964856710815028
sbm10k,n2v,8,0.11,4.22,-1,xgboost,3,0.9644,0.9633343372911942,0.9639648772544084,0.963336396425357
sbm10k,n2v,8,0.11,4.14,-1,xgboost,4,0.962,0.9617150395297476,0.9616114188693372,0.9614696303328693
sbm10k,n2v,8,0.11,4.18,-1,xgboost,5,0.9568,0.95490864519606,0.955312311697987,0.9547956607407936
sbm10k,n2v,8,0.11,4.37,-1,xgboost,6,0.9612,0.9598466430165746,0.9611102640486574,0.9601284495326964
sbm10k,n2v,8,0.11,4.16,-1,xgboost,7,0.9636,0.962855772734774,0.9625209603277558,0.9625225580961552
sbm10k,n2v,8,0.11,4.3,-1,xgboost,8,0.9632,0.962181780584219,0.9629175799963596,0.9623661147880204
sbm10k,n2v,8,0.11,4.34,-1,xgboost,9,0.9656,0.9644245051225828,0.9647101637677532,0.9643268265527146
sbm10k,n2v,10,0.11,4.53,-1,xgboost,0,0.9836,0.9830881813908752,0.9830944583160516,0.9829684123907524
sbm10k,n2v,10,0.11,4.3,-1,xgboost,1,0.9748,0.9746907541792325,0.9736895371247652,0.9739715567380288
sbm10k,n2v,10,0.11,4.53,-1,xgboost,2,0.9804,0.9800211395981088,0.9795384752597928,0.9796343454230448
sbm10k,n2v,10,0.11,4.59,-1,xgboost,3,0.9716,0.9704102825213065,0.9708410565664428,0.9704604380626092
sbm10k,n2v,10,0.11,4.38,-1,xgboost,4,0.9756,0.9752459626821692,0.9753771732928362,0.975117419251357
sbm10k,n2v,10,0.11,4.47,-1,xgboost,5,0.9744,0.9727347524678585,0.9730644915681737,0.9725660963299556
sbm10k,n2v,10,0.11,4.31,-1,xgboost,6,0.9776,0.9771085164667443,0.9773876464466846,0.977046801011279
sbm10k,n2v,10,0.11,4.27,-1,xgboost,7,0.9764,0.9759078908953546,0.9759753744021236,0.9757808823574894
sbm10k,n2v,10,0.11,4.34,-1,xgboost,8,0.9792,0.9787222387059864,0.9786931079721924,0.9785555528782994
sbm10k,n2v,10,0.11,4.39,-1,xgboost,9,0.978,0.97763979645484,0.9776081845622364,0.9774542260311284
sbm10k,n2v,12,0.11,4.41,-1,xgboost,0,0.9784,0.9778191249365475,0.9782839174586744,0.9779197047086748
sbm10k,n2v,12,0.11,4.46,-1,xgboost,1,0.9804,0.9800086585411676,0.9800506082604408,0.9799300175399742
sbm10k,n2v,12,0.11,4.48,-1,xgboost,2,0.986,0.9860500925913044,0.9857497527036804,0.985812635870632
sbm10k,n2v,12,0.11,4.33,-1,xgboost,3,0.9816,0.9815800186418948,0.9816666005709498,0.98149396511364
sbm10k,n2v,12,0.11,4.27,-1,xgboost,4,0.9768,0.9766172606954064,0.9770254008298606,0.97669473492849
sbm10k,n2v,12,0.11,4.35,-1,xgboost,5,0.978,0.978438569377042,0.9771951778367328,0.9776803728746988
sbm10k,n2v,12,0.11,4.32,-1,xgboost,6,0.9756,0.975665216096132,0.9753132297952328,0.975340388557132
sbm10k,n2v,12,0.11,5.44,-1,xgboost,7,0.9764,0.9763312713443564,0.975936631238546,0.9760010469179954
sbm10k,n2v,12,0.11,4.51,-1,xgboost,8,0.9796,0.9794109489758924,0.9790200231919696,0.9790738771760804
sbm10k,n2v,12,0.11,4.48,-1,xgboost,9,0.9836,0.9831996395150628,0.9833545059059214,0.9831674916385768
sbm10k,n2v,14,0.11,4.94,-1,xgboost,0,0.9856,0.9851369365299456,0.9853025000886272,0.9851144844002624
sbm10k,n2v,14,0.11,5.2,-1,xgboost,1,0.988,0.9877974887412186,0.987368154065929,0.9875188709238594
sbm10k,n2v,14,0.11,4.98,-1,xgboost,2,0.9856,0.9850190436446464,0.9855142730723948,0.9851484573171686
sbm10k,n2v,14,0.11,4.86,-1,xgboost,3,0.9788,0.9786621317707428,0.9788606876727868,0.9786186640126494
sbm10k,n2v,14,0.11,4.91,-1,xgboost,4,0.9808,0.981212522695148,0.980357043566163,0.9806639388437663
sbm10k,n2v,14,0.11,5.09,-1,xgboost,5,0.9848,0.984774040261394,0.9845934441945976,0.984576699802348
sbm10k,n2v,14,0.11,4.97,-1,xgboost,6,0.9816,0.9816883678738474,0.9814960236033462,0.981419508684975
sbm10k,n2v,14,0.11,4.94,-1,xgboost,7,0.9828,0.9827625224906386,0.9825777195793756,0.9825192556811576
sbm10k,n2v,14,0.11,4.87,-1,xgboost,8,0.982,0.982169895585114,0.9812389948127154,0.9815915809334296
