graph,emb,dim,param,exec_time,landmarks,best_alpha,best_div,best_div_ext,best_div_int,best_alpha_auc,best_auc,best_auc_err
email,hope,22,aa,20.89,-1,8.0,0.0627931387567711,0.0,0.0,2.5,0.0949999999999999,0.0128507112643619
email,hope,24,ppr,16.67,-1,10.0,0.1490686555131723,0.0,0.0,1.25,0.123,0.0143943953259593
email,hope,24,katz,18.25,-1,6.5,0.0619353822798106,0.0,0.0,3.25,0.0815,0.011991111966786
email,hope,24,aa,20.46,-1,7.75,0.0630386371217029,0.0,0.0,3.5,0.0915,0.0126361300325693
email,hope,26,ppr,16.79,-1,10.0,0.1490185331323295,0.0,0.0,1.25,0.123,0.0143943953259593
email,hope,26,katz,18.08,-1,6.5,0.0591268027067381,0.0,0.0,2.25,0.0815,0.011991111966786
email,hope,26,aa,20.37,-1,7.75,0.0607284050028606,0.0,0.0,3.5,0.0915,0.0126361300325693
email,hope,28,ppr,16.69,-1,10.0,0.149019103780115,0.0,0.0,1.25,0.123,0.0143943953259593
email,hope,28,katz,18.26,-1,6.5,0.0583781660861068,0.0,0.0,3.0,0.0815,0.011991111966786
email,hope,28,aa,20.77,-1,7.75,0.0606207881174053,0.0,0.0,3.5,0.0905,0.0125738048259069
email,hope,30,ppr,16.74,-1,10.0,0.1490173561795301,0.0,0.0,1.25,0.123,0.0143943953259593
email,hope,30,katz,20.35,-1,7.25,0.0618210994567422,0.0,0.0,3.25,0.0879999999999999,0.0124159463916368
email,hope,30,aa,20.65,-1,7.75,0.0582605168209437,0.0,0.0,3.0,0.0885,0.0124477553880207
email,hope,32,ppr,16.64,-1,10.0,0.1489953129992906,0.0,0.0,1.25,0.123,0.0143943953259593
email,hope,32,katz,20.36,-1,7.25,0.0608180641216191,0.0,0.0,3.25,0.0845,0.0121898567587974
email,hope,32,aa,20.14,-1,7.5,0.0569674954046111,0.0,0.0,3.75,0.0875,0.0123840169169781
email,n2v,2,1,17.93,-1,10.0,0.1000685018006211,0.0,0.0,7.75,0.0795,0.0118559547823024
email,n2v,2,0.11,17.68,-1,8.5,0.1070658572693855,0.0,0.0,4.25,0.0835,0.0121241289254115
email,n2v,2,9,18.95,-1,10.0,0.1049691128922718,0.0,0.0,10.0,0.0745,0.0115082005456978
email,n2v,4,1,17.62,-1,10.0,0.0926651763636168,0.0,0.0,10.0,0.0659999999999999,0.010881442698466
email,n2v,4,0.11,17.81,-1,10.0,0.0618978372226541,0.0,0.0,8.75,0.059,0.0103267078587515
email,n2v,4,9,17.56,-1,10.0,0.103379906749854,0.0,0.0,10.0,0.0785,0.011787550644642
email,n2v,6,1,17.59,-1,10.0,0.0849366435492837,0.0,0.0,10.0,0.0605,0.0104488177225942
email,n2v,6,0.11,17.96,-1,10.0,0.0583683893539497,0.0,0.0,9.25,0.0434999999999999,0.0089398079509573
email,n2v,6,9,17.56,-1,10.0,0.091466089843526,0.0,0.0,9.75,0.062,0.0105691080418358
email,n2v,8,1,17.86,-1,10.0,0.0828053759414964,0.0,0.0,10.0,0.055,0.0099916755351642
email,n2v,8,0.11,18.11,-1,10.0,0.0476158983816766,0.0,0.0,10.0,0.0414999999999999,0.0087410012126758
email,n2v,8,9,18.23,-1,10.0,0.0849168855288603,0.0,0.0,10.0,0.0544999999999999,0.0099487860465485
email,n2v,10,1,18.38,-1,10.0,0.0729168541782569,0.0,0.0,10.0,0.0454999999999999,0.0091334475309162
email,n2v,10,0.11,18.16,-1,10.0,0.0455576883420662,0.0,0.0,9.5,0.0394999999999999,0.008536666316543
email,n2v,10,9,17.88,-1,10.0,0.0866823162574235,0.0,0.0,9.75,0.0544999999999999,0.0099487860465485
email,n2v,12,1,17.98,-1,10.0,0.0770740908869069,0.0,0.0,10.0,0.047,0.0092754812705325
email,n2v,12,0.11,18.18,-1,10.0,0.0379936030907789,0.0,0.0,10.0,0.0314999999999999,0.0076550170607255
email,n2v,12,9,18.23,-1,10.0,0.0843936205456973,0.0,0.0,10.0,0.0484999999999999,0.0094149136055515
email,n2v,14,1,19.2,-1,10.0,0.0608335400705698,0.0,0.0,10.0,0.0394999999999999,0.008536666316543
email,n2v,14,0.11,18.24,-1,10.0,0.0358869005799187,0.0,0.0,10.0,0.027,0.0071036143476402
email,n2v,14,9,18.15,-1,10.0,0.0789805287577043,0.0,0.0,10.0,0.0464999999999999,0.0092284316218954
email,n2v,16,1,18.37,-1,10.0,0.0622425302424556,0.0,0.0,10.0,0.036,0.0081645234521066
email,n2v,16,0.11,18.36,-1,10.0,0.0273053658294475,0.0,0.0,9.5,0.0264999999999999,0.0070393407503828
email,n2v,16,9,17.94,-1,10.0,0.0770691405797596,0.0,0.0,10.0,0.041,0.008690450805338
email,n2v,18,1,18.8,-1,10.0,0.0620266878332514,0.0,0.0,10.0,0.0354999999999999,0.0081097294529472
email,n2v,18,0.11,18.58,-1,10.0,0.0298278817276457,0.0,0.0,10.0,0.025,0.0068424776214467
email,n2v,18,9,18.93,-1,10.0,0.0748957191727631,0.0,0.0,9.75,0.0414999999999999,0.0087410012126758
email,n2v,20,1,18.55,-1,10.0,0.0617349999608758,0.0,0.0,10.0,0.036,0.0081645234521066
email,n2v,20,0.11,18.31,-1,10.0,0.0298516229330789,0.0,0.0,10.0,0.0244999999999999,0.0067754438821379
email,n2v,20,9,19.55,-1,10.0,0.0696872830738222,0.0,0.0,10.0,0.0374999999999999,0.0083263962793035
email,n2v,22,1,20.51,-1,10.0,0.0549977708438403,0.0,0.0,10.0,0.034,0.0079427171169568
email,n2v,22,0.11,18.5,-1,10.0,0.029112504444975,0.0,0.0,9.5,0.025,0.0068424776214467
email,n2v,22,9,19.3,-1,10.0,0.0703417936159655,0.0,0.0,10.0,0.035,0.0080545030883351
email,n2v,24,1,18.93,-1,10.0,0.0518955644962547,0.0,0.0,10.0,0.0284999999999999,0.0072926421960768
email,n2v,24,0.11,18.41,-1,10.0,0.0321573678723977,0.0,0.0,10.0,0.024,0.0067076686859146
email,n2v,24,9,19.44,-1,10.0,0.0701611547261691,0.0,0.0,10.0,0.035,0.0080545030883351
email,n2v,26,1,18.38,-1,10.0,0.0632868478198149,0.0,0.0,10.0,0.0314999999999999,0.0076550170607255
email,n2v,26,0.11,18.83,-1,10.0,0.0243165815158507,0.0,0.0,9.5,0.0204999999999999,0.0062104093101823
