graph,emb,dim,param,exec_time,landmarks,best_alpha,best_div,best_div_ext,best_div_int,best_alpha_auc,best_auc,best_auc_err
lfr10k,n2v,12,0.11,52.25,270,4.25,0.028115929780342,0.0,0.0,4.5,0.1195,0.0142164023508059
lfr10k,n2v,14,0.11,51.73,270,4.0,0.0376299573951967,0.0,0.0,3.0,0.1205,0.0142676523576936
lfr10k,n2v,16,0.11,55.17,270,3.75,0.0337896960719569,0.0,0.0,4.75,0.1145,0.0139552653790603
lfr10k,n2v,18,0.11,56.72,270,3.75,0.0282378583189649,0.0,0.0,4.75,0.1159999999999999,0.014034475950316
lfr10k,n2v,20,0.11,54.36,270,4.0,0.0138316848378118,0.0,0.0,4.5,0.1069999999999999,0.0135474854050484
lfr10k,n2v,22,0.11,53.94,270,4.25,0.011023625817731,0.0,0.0,7.5,0.1079999999999999,0.0136030213114587
lfr10k,n2v,24,0.11,52.63,270,4.25,0.0046212347305146,0.0,0.0,7.0,0.0959999999999999,0.0129110304468698
lfr10k,n2v,26,0.11,56.3,270,4.25,0.0041389255775202,0.0,0.0,6.5,0.0949999999999999,0.0128507112643619
lfr10k,n2v,28,0.11,54.02,270,4.5,0.0036052940084682,0.0,0.0,7.25,0.0969999999999999,0.0129709210467105
lfr10k,n2v,30,0.11,56.52,270,4.5,0.0031571970180044,0.0,0.0,9.5,0.0885,0.0124477553880207
lfr10k,n2v,32,0.11,55.74,270,4.5,0.0025363840322325,0.0,0.0,10.0,0.0825,0.012057883520751
nlfr10k,n2v,2,9,47.09,375,3.5,0.342171549663687,0.0,0.0,9.25,0.141,0.0152527169776404
nlfr10k,n2v,4,9,47.09,375,10.0,0.2001070655982726,0.0,0.0,5.5,0.0999999999999999,0.0131480797076987
nlfr10k,n2v,6,9,48.18,375,10.0,0.0955425094391375,0.0,0.0,6.25,0.0779999999999999,0.0117531379979986
nlfr10k,n2v,8,9,47.98,375,10.0,0.0648577623383245,0.0,0.0,4.25,0.0665,0.0109196585203018
nlfr10k,n2v,10,9,49.67,375,7.25,0.0508382074565316,0.0,0.0,3.25,0.0554999999999999,0.0100343338493394
