graph,emb,dim,param,exec_time,landmarks,model,clusters,iter,ami,apr
sbm10k,n2v,6,9,2.3,-1,kmeans,30,17,0.8600613724456107,0.8053184363630084
sbm10k,n2v,6,9,2.39,-1,kmeans,30,18,0.8537365304023699,0.7918129485537447
sbm10k,n2v,6,9,2.29,-1,kmeans,30,19,0.8615848950773014,0.8081533609896107
sbm10k,n2v,8,9,1.62,-1,kmeans,30,0,0.9564362940889022,0.9523588825173478
sbm10k,n2v,8,9,1.27,-1,kmeans,30,1,0.9560419817582856,0.9519717925772956
sbm10k,n2v,8,9,1.57,-1,kmeans,30,2,0.956026095875177,0.9519693578832632
sbm10k,n2v,8,9,1.83,-1,kmeans,30,3,0.9561853408166264,0.95215875456253
sbm10k,n2v,8,9,1.67,-1,kmeans,30,4,0.9563893641358824,0.9523736495031128
sbm10k,n2v,8,9,1.19,-1,kmeans,30,5,0.956227629105143,0.9521666121014248
sbm10k,n2v,8,9,1.55,-1,kmeans,30,6,0.9564315321626742,0.9523800304784776
sbm10k,n2v,8,9,1.63,-1,kmeans,30,7,0.956026095875177,0.9519693578832632
sbm10k,n2v,8,9,1.9,-1,kmeans,30,8,0.9562299994624482,0.9521827726958444
sbm10k,n2v,8,9,1.69,-1,kmeans,30,9,0.956229999462448,0.9521827726958444
sbm10k,n2v,8,9,1.49,-1,kmeans,30,10,0.941820652770734,0.9190910124294052
sbm10k,n2v,8,9,1.65,-1,kmeans,30,11,0.9560260958751772,0.9519693578832632
sbm10k,n2v,8,9,1.8,-1,kmeans,30,12,0.9563893641358824,0.9523736495031128
sbm10k,n2v,8,9,1.44,-1,kmeans,30,13,0.9558281263560384,0.9517943120878164
sbm10k,n2v,8,9,1.74,-1,kmeans,30,14,0.9562276291051433,0.9521666121014248
sbm10k,n2v,8,9,1.34,-1,kmeans,30,15,0.9564315321626742,0.9523800304784776
sbm10k,n2v,8,9,1.67,-1,kmeans,30,16,0.9563893641358824,0.9523736495031128
sbm10k,n2v,8,9,1.59,-1,kmeans,30,17,0.9560419817582856,0.9519717925772956
